order_id,customer_id,order_date,revenue,product_category,country,email,age
1,271.0,8.5.2023,262.53,elecronics,United States,,55.0
2,,неизвестно,140.94,beauty,America,user976@,20.0
3,135.0,,177.72,cloting,RUSSIA,invalid_email,64.0
4,81.0,неизвестно,78.22,elecronics,Germany,invalid_email,25.0
5,252.0,2023-08-21,119.89,Книги,US,user157@gmail.com,18.0
6,63.0,19.1.2023,279.36,cloting,USA,user840gmail.com,41.0
7,172.0,3.1.2023,222.08,bokks,USA,user393gmail.com,49.0
8,52.0,,134.91,BOOKS,Россия,user839@,59.0
9,134.0,неизвестно,171.02,clothing,Russia,user385@gmail.com,56.0
10,137.0,,67.12,cloting,,invalid_email,20.0
11,113.0,2023-11-17,116.62,ELECTRONICS,RUSSIA,invalid_email,34.0
12,280.0,,45.28,ELECTRONICS,US,,53.0
13,,19.4.2023,128.29,Красота,United States,user641@gmail.com,47.0
14,263.0,неизвестно,93.03,ELECTRONICS,DE,,58.0
15,208.0,20.8.2023,281.98,elecronics,Russian Federation,user254@,42.0
16,,2/22/2023,25.06,bokks,DE,user896@,29.0
17,22.0,,118.02,ELECTRONICS,Германия,invalid_email,52.0
18,17.0,неизвестно,123.64,cloting,RU,,69.0
19,161.0,18.9.2023,39.72,Красота,Германия,user962@,57.0
20,299.0,,191.22,clothing,Россия,invalid_email,
21,288.0,25.10.2023,28.54,BEAUTY ,America,user54@,61.0
22,103.0,неизвестно,215.86,Одежда,DE,user370gmail.com,36.0
23,229.0,5/23/2023,276.26,BOOK,RUSSIA,user96@gmail.com,33.0
24,192.0,,119.67,Eletronics,germany,user220@gmail.com,22.0
25,218.0,5/7/2023,33.46,Eletronics,Россия,user180gmail.com,18.0
26,4.0,1/28/2023,128.69,ELECTRONICS,Russia,,57.0
27,44.0,,,beuty,russia,,
28,105.0,неизвестно,30.97,elecronics,America,user920@,35.0
29,96.0,,86.71,beauty,,user62@gmail.com,66.0
30,233.0,12.9.2023,180.56,BOOK,DE,invalid_email,53.0
31,144.0,2023-07-13,35.64,Электроника,США,invalid_email,34.0
32,7.0,,61.05,Eletronics,Russian Federation,,24.0
33,132.0,неизвестно,176.35,,USA,,37.0
34,1.0,13.12.2023,263.21,CLOTHING,Russian Federation,,38.0
35,229.0,неизвестно,196.23,bokks,Германия,user373@,29.0
36,272.0,неизвестно,201.12,Одежда,RU,user704@,50.0
37,220.0,,136.66,Eletronics,Германия,user450gmail.com,50.0
38,146.0,2023-11-21,179.34,ELECTRONICS,RUSSIA,user105@gmail.com,45.0
39,133.0,21.7.2023,89.26,bokks,US,,66.0
40,34.0,неизвестно,153.34,Электроника,Germany,,34.0
41,207.0,,58.18,electronics,Russian Federation,user850@,55.0
42,30.0,3/17/2023,157.79,BEAUTY ,RU,user774gmail.com,65.0
43,111.0,2023-07-23,70.42,elecronics,russia,,68.0
44,,,173.64,Eletronics,US,user346gmail.com,44.0
