order_id,customer_id,order_date,revenue,product_category,country,email,age,product_category_clean,country_clean,order_date_clean,was_date_missing,revenue_clean,age_clean,is_valid_email
1,271.0,8.5.2023,262.53,elecronics,United States,,55.0,Электроника,США,2023-05-08,False,262.53,55.0,False
2,,неизвестно,140.94,beauty,America,user976@,20.0,Красота,США,2023-10-21,False,140.94,20.0,False
3,135.0,,177.72,cloting,RUSSIA,invalid_email,64.0,Одежда,Россия,2023-02-28,True,177.72,64.0,False
4,81.0,неизвестно,78.22,elecronics,Germany,invalid_email,25.0,Электроника,Германия,2023-10-22,False,78.22,25.0,False
5,252.0,2023-08-21,119.89,Книги,US,user157@gmail.com,18.0,Электроника,США,2023-08-21,False,119.89,18.0,True
6,63.0,19.1.2023,279.36,cloting,USA,user840gmail.com,41.0,Одежда,США,2023-01-19,False,279.36,41.0,False
7,172.0,3.1.2023,222.08,bokks,USA,user393gmail.com,49.0,Книги,США,2023-01-03,False,222.08,49.0,False
8,52.0,,134.91,BOOKS,Россия,user839@,59.0,Книги,Неизвестно,2023-04-02,True,134.91,59.0,False
9,134.0,неизвестно,171.02,clothing,Russia,user385@gmail.com,56.0,Одежда,Россия,2023-04-25,False,171.02,56.0,True
10,137.0,,67.12,cloting,,invalid_email,20.0,Одежда,Неизвестно,2023-03-25,True,67.12,20.0,False
11,113.0,2023-11-17,116.62,ELECTRONICS,RUSSIA,invalid_email,34.0,Электроника,Россия,2023-11-17,False,116.62,34.0,False
12,280.0,,45.28,ELECTRONICS,US,,53.0,Электроника,США,2023-03-26,True,45.28,53.0,False
13,,19.4.2023,128.29,Красота,United States,user641@gmail.com,47.0,Электроника,США,2023-04-19,False,128.29,47.0,True
14,263.0,неизвестно,93.03,ELECTRONICS,DE,,58.0,Электроника,Германия,2023-08-11,False,93.03,58.0,False
15,208.0,20.8.2023,281.98,elecronics,Russian Federation,user254@,42.0,Электроника,Россия,2023-08-20,False,281.98,42.0,False
16,,2/22/2023,25.06,bokks,DE,user896@,29.0,Книги,Германия,2023-02-22,False,25.06,29.0,False
17,22.0,,118.02,ELECTRONICS,Германия,invalid_email,52.0,Электроника,Неизвестно,2023-07-02,True,118.02,52.0,False
18,17.0,неизвестно,123.64,cloting,RU,,69.0,Одежда,Россия,2023-01-07,False,123.64,69.0,False
19,161.0,18.9.2023,39.72,Красота,Германия,user962@,57.0,Электроника,Неизвестно,2023-09-18,False,39.72,57.0,False
20,299.0,,191.22,clothing,Россия,invalid_email,,Одежда,Неизвестно,2023-10-21,True,191.22,,False
21,288.0,25.10.2023,28.54,BEAUTY ,America,user54@,61.0,Красота,США,2023-10-25,False,28.54,61.0,False
22,103.0,неизвестно,215.86,Одежда,DE,user370gmail.com,36.0,Электроника,Германия,2023-11-26,False,215.86,36.0,False
23,229.0,5/23/2023,276.26,BOOK,RUSSIA,user96@gmail.com,33.0,Книги,Россия,2023-05-23,False,276.26,33.0,True
24,192.0,,119.67,Eletronics,germany,user220@gmail.com,22.0,Электроника,Германия,2023-06-04,True,119.67,22.0,True
25,218.0,5/7/2023,33.46,Eletronics,Россия,user180gmail.com,18.0,Электроника,Неизвестно,2023-05-07,False,33.46,18.0,False
26,4.0,1/28/2023,128.69,ELECTRONICS,Russia,,57.0,Электроника,Россия,2023-01-28,False,128.69,57.0,False
27,44.0,,,beuty,russia,,,Красота,Россия,2023-09-22,True,155.10500000000002,,False
28,105.0,неизвестно,30.97,elecronics,America,user920@,35.0,Электроника,США,2023-07-21,False,30.97,35.0,False
29,96.0,,86.71,beauty,,user62@gmail.com,66.0,Красота,Неизвестно,2023-08-03,True,86.71,66.0,True
30,233.0,12.9.2023,180.56,BOOK,DE,invalid_email,53.0,Книги,Германия,2023-09-12,False,180.56,53.0,False
31,144.0,2023-07-13,35.64,Электроника,США,invalid_email,34.0,Электроника,Неизвестно,2023-07-13,False,35.64,34.0,False
32,7.0,,61.05,Eletronics,Russian Federation,,24.0,Электроника,Россия,2023-08-10,True,61.05,24.0,False
33,132.0,неизвестно,176.35,,USA,,37.0,Электроника,США,2023-11-06,False,176.35,37.0,False
34,1.0,13.12.2023,263.21,CLOTHING,Russian Federation,,38.0,Одежда,Россия,2023-12-13,False,263.21,38.0,False
35,229.0,неизвестно,196.23,bokks,Германия,user373@,29.0,Книги,Неизвестно,2023-09-27,False,196.23,29.0,False
36,272.0,неизвестно,201.12,Одежда,RU,user704@,50.0,Электроника,Россия,2023-12-19,False,201.12,50.0,False
37,220.0,,136.66,Eletronics,Германия,user450gmail.com,50.0,Электроника,Неизвестно,2023-01-13,True,136.66,50.0,False
38,146.0,2023-11-21,179.34,ELECTRONICS,RUSSIA,user105@gmail.com,45.0,Электроника,Россия,2023-11-21,False,179.34,45.0,True
39,133.0,21.7.2023,89.26,bokks,US,,66.0,Книги,США,2023-07-21,False,89.26,66.0,False
40,34.0,неизвестно,153.34,Электроника,Germany,,34.0,Электроника,Германия,2023-09-20,False,153.34,34.0,False
41,207.0,,58.18,electronics,Russian Federation,user850@,55.0,Электроника,Россия,2023-05-17,True,58.18,55.0,False
42,30.0,3/17/2023,157.79,BEAUTY ,RU,user774gmail.com,65.0,Красота,Россия,2023-03-17,False,157.79,65.0,False
43,111.0,2023-07-23,70.42,elecronics,russia,,68.0,Электроника,Россия,2023-07-23,False,70.42,68.0,False
44,,,173.64,Eletronics,US,user346gmail.com,44.0,Электроника,США,2023-08-05,True,173.64,44.0,False
45,,2023-09-22,37.1,elecronics,Russia,,39.0,Электроника,Россия,2023-09-22,False,37.1,39.0,False
46,28.0,10/14/2023,256.44,BOOKS,Германия,user506@,54.0,Книги,Неизвестно,2023-10-14,False,256.44,54.0,False
47,39.0,2023-01-07,116.02,elecronics,America,user233gmail.com,51.0,Электроника,США,2023-01-07,False,116.02,51.0,False
48,236.0,10.9.2023,88.42,Книги,Russian Federation,,65.0,Электроника,Россия,2023-09-10,False,88.42,65.0,False
49,95.0,2023-07-03,51.37,electronics,США,user4@gmail.com,19.0,Электроника,Неизвестно,2023-07-03,False,51.37,19.0,True
50,26.0,13.12.2023,75.86,BEAUTY ,,user559gmail.com,28.0,Красота,Неизвестно,2023-12-13,False,75.86,28.0,False
51,259.0,2023-06-18,76.48,Одежда,RUSSIA,,-5.0,Электроника,Россия,2023-06-18,False,76.48,35.0,False
52,38.0,17.5.2023,224.64,cloting,RUSSIA,user588@gmail.com,46.0,Одежда,Россия,2023-05-17,False,224.64,46.0,True
53,229.0,неизвестно,206.26,elecronics,GERMANY,user402@,32.0,Электроника,Германия,2023-04-08,False,206.26,32.0,False
54,145.0,2023-07-02,52.73,CLOTHING,russia,user179gmail.com,46.0,Одежда,Россия,2023-07-02,False,52.73,46.0,False
55,231.0,4.6.2023,60.08,elecronics,RUSSIA,user517gmail.com,48.0,Электроника,Россия,2023-06-04,False,60.08,48.0,False
56,216.0,неизвестно,84.19,books,GERMANY,user95@,60.0,Книги,Германия,2023-12-07,False,84.19,60.0,False
