"customer_id","name","country","Количесво_заказов","Общая_выручка","Доля_от_общей_выручки_в_процентах","Ранг_по_выручке"
7,"Alex Johnson","USA","1","2399.99","18.26","1"
3,"John Smith","USA","2","2349.97","17.88","2"
2,"Мария Сидорова","Russia","2","1449.98","11.03","3"
1,"Иван Петров","Russia","2","1239.97","9.43","4"
15,"Дмитрий Попов","Russia","1","999.99","7.61","5"
10,"Olga Kuznetsova","Russia","1","999.99","7.61","5"
4,"Anna Müller","Germany","2","949.98","7.23","7"
11,"Thomas Schmidt","Germany","1","849.99","6.47","8"
6,"Sophie Laurent","France","1","599.99","4.56","9"
8,"Елена Смирнова","Russia","1","399.99","3.04","10"
